Биология,Балл,Статус
№ 1010247,55.393,Призер
№ 1010258,66.008,Призер
№ 1010282,65.393,Призер
№ 1010345,68.245,Призер
№ 1010383,63.371,Призер
№ 1010430,61.504,Призер
№ 1010503,75.319,Призер
№ 1010641,62.971,Призер
№ 1011123,75.208,Призер
№ 1011428,52.919,Призер
№ 1011721,69.356,Призер
№ 1011760,72.66,Призер
№ 1011946,74.297,Призер
№ 1012015,66.093,Призер
№ 1012091,70.445,Призер
№ 1012184,59.467,Призер
№ 1012312,66.782,Призер
№ 1012451,68.43,Призер
№ 1012490,60.667,Призер
№ 1012502,73.008,Призер
№ 1012587,72.745,Призер
№ 1012665,76.343,Призер
№ 1012706,55.004,Призер
№ 1012824,59.741,Призер
№ 1012981,67.26,Призер
№ 1013089,55.73,Призер
№ 1013329,62.63,Призер
№ 1013425,59.208,Призер
№ 1013459,63.63,Призер
№ 1013505,53.563,Призер
№ 1013844,51.067,Призер
№ 1014052,62.356,Призер
№ 1014109,65.056,Призер
№ 1014149,62.43,Призер
№ 1014219,68.593,Призер
№ 1014237,63.615,Призер
№ 1014282,61.63,Призер
№ 1014474,62.097,Призер
№ 1014631,61.556,Призер
№ 1014687,65.267,Призер
№ 1014776,55.741,Призер
№ 1014902,52.415,Призер
№ 1014957,69.134,Призер
№ 1014979,58.156,Призер
№ 1015011,54.356,Призер
№ 1015311,78.297,Призер
№ 1015380,73.045,Призер
№ 1015404,62.43,Призер
№ 1015567,51.041,Призер
№ 1015625,50.23,Призер
№ 1015628,76.408,Призер
№ 1015679,62.982,Призер
№ 1015701,67.593,Призер
№ 1015724,56.582,Призер
№ 1015959,70.934,Призер
№ 1016217,60.193,Призер
№ 1016228,61.897,Призер
№ 1016286,53.867,Призер
№ 1016321,71.308,Призер
№ 1016332,64.134,Призер
№ 1016392,62.667,Призер
№ 1016620,69.334,Призер
№ 1016685,69.134,Призер
№ 1016856,71.908,Призер
№ 1016957,55.43,Призер
№ 1017126,54.815,Призер
№ 1017133,73.223,Призер
№ 1017191,55.508,Призер
№ 1017229,62.556,Призер
№ 1017263,56.541,Призер
№ 1017744,53.378,Призер
№ 1017866,50.23,Призер
№ 1018089,51.391,Призер
№ 1018098,52.319,Призер
№ 1018725,55.378,Призер
№ 1019004,65.741,Призер
№ 1019031,57.467,Призер
№ 1019212,69.334,Призер
№ 1019281,59.245,Призер
№ 1019501,67.63,Призер
№ 1019525,60.852,Призер
№ 1019559,62.843,Призер
№ 1019747,72.845,Призер
№ 1019800,78.623,Призер
№ 1019944,67.082,Призер
№ 1020096,54.004,Призер
№ 1020370,75.208,Призер
№ 1020416,50.156,Призер
№ 1020467,55.504,Призер
№ 1020488,70.532,Призер
№ 1020515,70.408,Призер
№ 1020557,70.356,Призер
№ 1020750,78.097,Призер
№ 1020771,52.245,Призер
№ 1020811,50.989,Призер
№ 1020822,52.882,Призер
№ 1020929,68.334,Призер
№ 1020932,59.378,Призер
№ 1021038,60.134,Призер
№ 1021214,66.619,Призер
№ 1021220,52.304,Призер
№ 1021241,66.334,Призер
№ 1021298,67.171,Призер
№ 1021309,70.86,Призер
№ 1021339,62.393,Призер
№ 1021386,55.204,Призер
№ 1021930,51.541,Призер
№ 1022020,55.078,Призер
№ 1022097,59.919,Призер
№ 1022220,55.319,Призер
№ 1022529,58.852,Призер
№ 1022555,66.671,Призер
№ 1022704,50.893,Призер
№ 1022753,72.908,Призер
№ 1023210,54.082,Призер
№ 1023264,66.282,Призер
№ 1023374,52.578,Призер
№ 1023444,70.282,Призер
№ 1023451,70.319,Призер
№ 1023556,58.03,Призер
№ 1023566,65.741,Призер
№ 1023630,65.556,Призер
№ 1023862,60.23,Призер
№ 1024064,76.134,Призер
№ 1024147,71.945,Призер
№ 1024228,53.304,Призер
№ 1024446,72.445,Призер
№ 1025215,52.082,Призер
№ 1025308,61.815,Призер
№ 1025516,64.319,Призер
№ 1025604,58.356,Призер
№ 1025624,74.26,Призер
№ 1025660,58.971,Призер
№ 1025787,64.045,Призер
№ 1025829,54.3,Призер
№ 1026133,63.732,Призер
№ 1026142,51.289,Призер
№ 1026365,53.115,Призер
№ 1026587,61.43,Призер
№ 1026592,67.032,Призер
№ 1026597,71.93,Призер
№ 1026609,59.093,Призер
№ 1026633,61.282,Призер
№ 1026813,61.88,Призер
№ 1027011,58.745,Призер
№ 1027258,51.452,Призер
№ 1027345,51.356,Призер
№ 1027367,50.267,Призер
№ 1027581,77.723,Призер
№ 1027715,66.045,Призер
№ 1027738,79.597,Призер
№ 1028137,54.104,Призер
№ 1028387,62.245,Призер
№ 1028673,66.606,Призер
№ 1028682,58.393,Призер
№ 1028722,60.056,Призер
№ 1028747,73.197,Призер
№ 1028758,56.43,Призер
№ 1028924,59.134,Призер
№ 1029081,59.054,Призер
№ 1029097,60.393,Призер
№ 1029159,67.556,Призер
№ 1029176,76.134,Призер
№ 1029391,56.782,Призер
№ 1029416,73.282,Призер
№ 1029431,66.282,Призер
№ 1029432,51.332,Призер
№ 1029521,57.141,Призер
№ 1029689,73.445,Призер
№ 1029755,64.171,Призер
№ 1029830,52.091,Призер
№ 1030206,68.245,Призер
№ 1030286,55.615,Призер
№ 1030331,64.23,Призер
№ 1030503,61.045,Призер
№ 1030672,59.304,Призер
№ 1030764,56.845,Призер
№ 1031039,56.556,Призер
№ 1031075,53.067,Призер
№ 1031368,59.856,Призер
№ 1031389,60.771,Призер
№ 1031453,56.067,Призер
№ 1031468,70.482,Призер
№ 1031634,64.282,Призер
№ 1031740,52.267,Призер
№ 1031850,55.052,Призер
№ 1032232,62.06,Призер
№ 1032344,72.582,Призер
№ 1032411,52.067,Призер
№ 1032472,65.408,Призер
№ 1032747,50.667,Призер
№ 1032800,72.208,Призер
№ 1033008,70.908,Призер
№ 1033097,61.741,Призер
№ 1033126,70.245,Призер
№ 1033167,63.893,Призер
№ 1033312,57.315,Призер
№ 1033321,67.467,Призер
№ 1033429,78.797,Призер
№ 1033473,74.482,Призер
№ 1033554,53.878,Призер
№ 1033558,54.267,Призер
№ 1033687,59.815,Призер
№ 1033894,58.082,Призер
№ 1033967,61.282,Призер
№ 1033976,52.541,Призер
№ 1034704,51.119,Призер
№ 1034723,59.056,Призер
№ 1034750,68.282,Призер
№ 1035421,59.915,Призер
№ 1035492,75.908,Призер
№ 1035605,58.73,Призер
№ 1035792,69.295,Призер
№ 1036008,61.971,Призер
№ 1036162,62.408,Призер
№ 1036331,59.819,Призер
№ 1036866,60.556,Призер
№ 1036869,51.467,Призер
№ 1036977,57.056,Призер
№ 1036990,57.104,Призер
№ 1037073,54.956,Призер
№ 1037151,53.115,Призер
№ 1037198,59.119,Призер
№ 1037219,63.819,Призер
№ 1037392,64.056,Призер
№ 1037709,51.119,Призер
№ 1037778,52.3,Призер
№ 1037864,53.004,Призер
№ 1037869,66.134,Призер
№ 1037916,64.245,Призер
№ 1037974,51.267,Призер
№ 1038030,51.541,Призер
№ 1038533,57.393,Призер
№ 1038576,66.208,Призер
№ 1038788,56.23,Призер
№ 1038821,55.767,Призер
№ 1039396,68.482,Призер
№ 1039570,52.03,Призер
№ 1039577,65.708,Призер
№ 1039810,69.856,Призер
№ 1040211,68.356,Призер
№ 1040390,54.815,Призер
№ 1040420,57.593,Призер
№ 1040487,63.708,Призер
№ 1040906,66.097,Призер
№ 1040926,51.104,Призер
№ 1041184,71.445,Призер
№ 1041330,50.215,Призер
№ 1041573,79.26,Призер
№ 1042360,73.508,Призер
№ 1042583,61.482,Призер
№ 1042586,50.578,Призер
№ 1042633,64.519,Призер
№ 1042669,55.393,Призер
№ 1042731,56.641,Призер
№ 1042930,56.208,Призер
№ 1043015,65.282,Призер
№ 1043018,64.319,Призер
№ 1043083,66.193,Призер
№ 1043172,60.634,Призер
№ 1043262,54.708,Призер
№ 1043352,61.63,Призер
№ 1043483,57.356,Призер
№ 1043574,67.593,Призер
№ 1043682,61.745,Призер
№ 1043684,53.504,Призер
№ 1043752,53.378,Призер
№ 1043965,70.06,Призер
№ 1044355,57.119,Призер
№ 1044425,52.341,Призер
№ 1044439,67.282,Призер
№ 1044466,54.282,Призер
№ 1044731,69.782,Призер
№ 1044889,55.304,Призер
№ 1045060,50.245,Призер
№ 1045158,57.193,Призер
№ 1045253,77.371,Призер
№ 1045255,59.356,Призер
№ 1045268,70.556,Призер
№ 1045410,56.03,Призер
№ 1045503,65.667,Призер
№ 1045567,69.408,Призер
№ 1045659,54.378,Призер
№ 1045820,57.871,Призер
№ 1045821,62.558,Призер
№ 1045837,59.208,Призер
№ 1045877,55.615,Призер
№ 1045934,76.445,Призер
№ 1046094,54.652,Призер
№ 1046145,59.652,Призер
№ 1046188,51.6,Призер
№ 1046368,57.73,Призер
№ 1046775,62.032,Призер
№ 1046999,59.156,Призер
№ 1047151,55.519,Призер
№ 1047213,63.245,Призер
№ 1047362,51.993,Призер
№ 1047528,66.547,Призер
№ 1047829,66.397,Призер
№ 1047871,65.619,Призер
№ 1048339,67.945,Призер
№ 1048348,57.078,Призер
№ 1048466,78.371,Призер
№ 1048597,70.371,Призер
№ 1048647,59.065,Призер
№ 1048724,60.341,Призер
№ 1048879,69.245,Призер
№ 1048974,59.593,Призер
№ 1049133,54.652,Призер
№ 1049145,59.193,Призер
№ 1049501,58.267,Призер
№ 1049744,63.319,Призер
№ 1049813,72.245,Призер
№ 1049855,50.082,Призер
№ 1049893,66.741,Призер
№ 1050250,59.808,Призер
№ 1050497,60.63,Призер
№ 1050523,61.808,Призер
№ 1050553,53.63,Призер
№ 1050646,68.593,Призер
№ 1050846,50.63,Призер
№ 1051177,69.319,Призер
№ 1051195,70.519,Призер
№ 1051205,63.519,Призер
№ 1051268,59.708,Призер
№ 1051312,54.267,Призер
№ 1051399,60.304,Призер
№ 1051841,64.156,Призер
№ 1052364,61.569,Призер
№ 1052482,51.689,Призер
№ 1052668,72.671,Призер
№ 1052757,62.619,Призер
№ 1052903,79.223,Призер
№ 1052968,61.282,Призер
№ 1053167,58.43,Призер
№ 1053181,58.378,Призер
№ 1053397,52.467,Призер
№ 1053853,60.93,Призер
№ 1054467,57.004,Призер
№ 1054507,74.834,Призер
№ 1054637,60.378,Призер
№ 1055054,50.193,Призер
№ 1055079,69.445,Призер
№ 1055261,57.004,Призер
№ 1055289,76.232,Призер
№ 1055314,50.23,Призер
№ 1055336,62.119,Призер
№ 1056026,51.641,Призер
№ 1056119,54.919,Призер
№ 1056127,53.282,Призер
№ 1056143,54.804,Призер
№ 1056290,59.845,Призер
№ 1056415,61.408,Призер
№ 1056499,68.897,Призер
№ 1057195,51.193,Призер
№ 1057229,55.341,Призер
№ 1057305,62.267,Призер
№ 1057505,55.593,Призер
№ 1057619,65.745,Призер
№ 1058714,53.341,Призер
№ 1058851,57.041,Призер
№ 1059074,56.03,Призер
№ 1059099,66.393,Призер
№ 1059428,50.141,Призер
№ 1059438,65.119,Призер
№ 1059564,74.06,Призер
№ 1059623,72.371,Призер
№ 1059636,53.956,Призер
№ 1059694,71.245,Призер
№ 1059722,59.193,Призер
№ 1059736,65.119,Призер
№ 1059790,50.193,Призер
№ 1059925,62,Призер
№ 1060083,79.723,Призер
№ 1060090,63.156,Призер
№ 1060580,52.808,Призер
№ 1060716,55.767,Призер
№ 1060729,65.393,Призер
№ 1060859,57.556,Призер
№ 1060903,57.445,Призер
№ 1061044,58.378,Призер
№ 1061072,56.43,Призер
№ 1061135,64.671,Призер
№ 1061143,59.156,Призер
№ 1061290,54.741,Призер
№ 1061327,50.993,Призер
№ 1061353,53.989,Призер
№ 1061356,52.778,Призер
№ 1061424,59.893,Призер
№ 1061530,68.834,Призер
№ 1061744,63.371,Призер
№ 1061768,50.971,Призер
№ 1061833,60.278,Призер
№ 1061964,56.041,Призер
№ 1062052,54.493,Призер
№ 1062167,55.593,Призер
№ 1062319,54.667,Призер
№ 1062399,55.193,Призер
№ 1062710,58.282,Призер
№ 1062847,66.63,Призер
№ 1063208,54.541,Призер
№ 1063321,56.393,Призер
№ 1063585,54.482,Призер
№ 1063632,53.078,Призер
№ 1063685,62.282,Призер
№ 1063687,57.517,Призер
№ 1063871,60.608,Призер
№ 1064204,65.56,Призер
№ 1064217,68.245,Призер
№ 1064232,54.141,Призер
№ 1064446,56.119,Призер
№ 1064955,51.304,Призер
№ 1065023,65.845,Призер
№ 1065081,68.056,Призер
№ 1065140,58.045,Призер
№ 1065255,71.597,Призер
№ 1065311,56.593,Призер
№ 1065419,51.915,Призер
№ 1066004,51.141,Призер
№ 1066012,67.697,Призер
№ 1066042,55.045,Призер
№ 1066068,59.356,Призер
№ 1066447,71.593,Призер
№ 1066714,73.808,Призер
№ 1066726,60.23,Призер
№ 1066743,58.43,Призер
№ 1066816,50.23,Призер
№ 1066912,56.778,Призер
№ 1067216,56.652,Призер
№ 1067328,51.445,Призер
№ 1067484,72.193,Призер
№ 1067728,64.971,Призер
№ 1068025,57.334,Призер
№ 1068074,60.334,Призер
№ 1068205,52.769,Призер
№ 1068214,62.63,Призер
№ 1068383,52.541,Призер
№ 1068829,57.141,Призер
№ 1068921,59.73,Призер
№ 1068955,61.734,Призер
№ 1069065,54.767,Призер
№ 1069157,66.408,Призер
№ 1069271,51.578,Призер
№ 1069491,54.23,Призер
№ 1069618,52.523,Призер
№ 1069699,55.141,Призер
№ 1069863,50.93,Призер
№ 1070100,63.721,Призер
№ 1070117,63.267,Призер
№ 1070392,57.693,Призер
№ 1070469,56.152,Призер
№ 1070544,51.845,Призер
№ 1070625,70.097,Призер
№ 1070676,58.445,Призер
№ 1070747,67.097,Призер
№ 1070874,67.397,Призер
№ 1070987,55.704,Призер
№ 1071038,53.717,Призер
№ 1071124,68.445,Призер
№ 1071135,70.193,Призер
№ 1071136,55.717,Призер
№ 1071255,63.397,Призер
№ 1071346,56.43,Призер
№ 1071552,72.86,Призер
№ 1071634,73.023,Призер
№ 1071790,52.341,Призер
№ 1072170,50.541,Призер
№ 1072173,65.245,Призер
№ 1072324,73.334,Призер
№ 1072852,60.823,Призер
№ 1072889,55.156,Призер
№ 1073107,51.791,Призер
№ 1073157,64.204,Призер
№ 1073195,71.171,Призер
№ 1073249,78.223,Призер
№ 1073300,52.541,Призер
№ 1073582,53.43,Призер
№ 1073642,62.623,Призер
№ 1073726,61.397,Призер
№ 1073784,72.097,Призер
№ 1074020,63.134,Призер
№ 1074058,58.941,Призер
№ 1074471,66.097,Призер
№ 1074560,50.956,Призер
№ 1074660,55.278,Призер
№ 1074832,60.745,Призер
№ 1074960,58.093,Призер
№ 1074987,52.23,Призер
№ 1075124,51.041,Призер
№ 1075195,58.341,Призер
№ 1075239,51.993,Призер
№ 1075554,52.593,Призер
№ 1075634,75.523,Призер
№ 1075841,53.708,Призер
№ 1075932,53.702,Призер
№ 1075961,65.971,Призер
№ 1076221,64.408,Призер
№ 1076234,50.356,Призер
№ 1076366,51.356,Призер
№ 1076501,56.545,Призер
№ 1076655,59.245,Призер
№ 1076834,58.623,Призер
№ 1076938,60.078,Призер
№ 1076963,56.304,Призер
№ 1077067,64.282,Призер
№ 1077224,57.697,Призер
№ 1077340,51.267,Призер
№ 1077497,69.197,Призер
№ 1077724,56,Призер
№ 1078434,52.556,Призер
№ 1078442,55.193,Призер
№ 1078443,56.267,Призер
№ 1078515,50.03,Призер
№ 1078589,52.917,Призер
№ 1078622,70.06,Призер
№ 1078718,63.156,Призер
№ 1078881,65.067,Призер
№ 1078920,59.03,Призер
№ 1078977,57.63,Призер
№ 1079191,50.152,Призер
№ 1079196,65.445,Призер
№ 1079201,58.445,Призер
№ 1079297,50.141,Призер
№ 1079316,75.171,Призер
№ 1079325,65.956,Призер
№ 1079384,59.504,Призер
№ 1079444,64.008,Призер
№ 1079467,52.808,Призер
№ 1079524,63.519,Призер
№ 1079672,55.045,Призер
№ 1079677,52.378,Призер
№ 1079766,50.504,Призер
№ 1079889,51.267,Призер
№ 1080018,60.778,Призер
№ 1080031,56.856,Призер
№ 1080069,52.215,Призер
№ 1080161,63.63,Призер
№ 1080283,69.371,Призер
№ 1080291,61.43,Призер
№ 1080335,61.23,Призер
№ 1080350,73.445,Призер
№ 1080411,70.482,Призер
№ 1080493,58.267,Призер
№ 1080547,52.619,Призер
№ 1080677,57.008,Призер
№ 1080747,52.541,Призер
№ 1080754,57.971,Призер
№ 1080960,53.078,Призер
№ 1081158,52.43,Призер
№ 1081489,59.519,Призер
№ 1081570,63.282,Призер
№ 1081742,52.678,Призер
№ 1081756,70.658,Призер
№ 1082017,65.356,Призер
№ 1082312,60.76,Призер
№ 1082352,51.263,Призер
№ 1082564,62.319,Призер
№ 1082641,54.134,Призер
№ 1082784,62.504,Призер
№ 1082966,57.467,Призер
№ 1083092,62.823,Призер
№ 1083195,52.304,Призер
№ 1083290,51.267,Призер
№ 1083386,69.634,Призер
№ 1083409,51.623,Призер
№ 1083543,64.63,Призер
№ 1083774,69.63,Призер
№ 1084079,51.393,Призер
№ 1084104,72.26,Призер
№ 1084139,59.767,Призер
№ 1084360,52.967,Призер
№ 1084566,59.93,Призер
№ 1084763,55.482,Призер
№ 1084882,56.845,Призер
№ 1084988,50.295,Призер
№ 1085020,50.541,Призер
№ 1085047,65.134,Призер
№ 1085064,50.504,Призер
№ 1085383,68.393,Призер
№ 1085386,54.134,Призер
№ 1085563,69.897,Призер
№ 1085597,55.104,Призер
№ 1085684,50.893,Призер
№ 1085885,63.934,Призер
